id;name;sale_price;cost;description;category;ingredients;image_url;is_popular;is_new
1;Калифорния;96;94.59;Классический ролл с крабовыми палочками, авокадо и огурцом в кунжуте;Классические;Краб, авокадо, огурец, рис, нори, кунжут;https://images.pexels.com/photos/357756/pexels-photo-357756.jpeg;1;0
2;филадельфия;203;203.21;Премиальный ролл с лососем и сливочным сыром;Классические;Лосось, сливочный сыр, рис, нори;https://images.pexels.com/photos/248444/pexels-photo-248444.jpeg;1;0
3;сладкий ролл;129;129.13;Десертный ролл с фруктами и сладким соусом;Десертные;Фрукты, сладкий соус, рис, нори;https://images.pexels.com/photos/2098085/pexels-photo-2098085.jpeg;0;1
4;чикен маки;79;81.37;Популярный ролл с курицей и овощами;Маки;Курица, овощи, рис, нори;;0;0
5;острый лосось;139;141.9;Острый ролл с лососем и специями;Острые;Лосось, острый соус, специи, рис, нори;https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg;1;0
6;лосось темпура;160;163.29;Хрустящий ролл с лососем в темпуре;Темпура;Лосось, темпура, рис, нори;https://images.pexels.com/photos/2098080/pexels-photo-2098080.jpeg;1;0
7;курица темпура;82;84.42;Хрустящий ролл с курицей в темпуре;Темпура;Курица, темпура, рис, нори;;0;0
8;угорь темпура;141;143.12;Экзотический ролл с угрем в хрустящей панировке;Темпура;Угорь, темпура, рис, нори;;0;1
9;копченная фила;196;196.52;Ролл с копченым лососем премиум качества;Премиум;Копченый лосось, сливочный сыр, рис, нори;;1;0
10;фила спешл;209;209.71;Специальная филадельфия с дополнительными ингредиентами;Премиум;Лосось, сливочный сыр, авокадо, икра, рис, нори;;1;0
11;запеч магистр;82;82.25;Запеченный ролл Магистр с сырной корочкой;Запеченные;Различные ингредиенты, сыр, рис, нори;;0;0
12;запеч фила;203;203.11;Запеченная филадельфия с золотистой корочкой;Запеченные;Лосось, сливочный сыр, сыр для запекания, рис, нори;;1;0
13;саке маки;74;76.38;Классический маки с лососем;Маки;Лосось, рис, нори;;0;0
14;унаги запеч;100;100.7;Запеченный ролл с угрем и соусом унаги;Запеченные;Угорь, соус унаги, сыр, рис, нори;;0;0
15;овощьной ролл;45;45.85;Легкий вегетарианский ролл с овощами;Вегетарианские;Огурец, авокадо, морковь, рис, нори;;0;0
16;чикаго ролл;86;86.29;Американский ролл в стиле Чикаго;Классические;Лосось, сливочный сыр, огурец, рис, нори;;0;0
17;маки курица;48;48.72;Простой маки с курицей;Маки;Курица, рис, нори;;0;0
18;фила с угрем;61;140.2;Филадельфия с добавлением угря;Классические;Лосось, угорь, сливочный сыр, рис, нори;;0;0
19;чедр ролл;118;118.17;Ролл с сыром чеддер и запеканием;Запеченные;Сыр чеддер, рис, нори, различные ингредиенты;;0;0
20;мини рол огурец;34;311.65;Маленький ролл с огурцом;Маки;Огурец, рис, нори;;0;0
21;соус сушиза;0;524.9;Специальный соус для суши;Соусы;Соевый соус, специи;;0;0
22;спайси соус;0;352.0;Острый соус для роллов;Соусы;Майонез, острые специи;;0;0
23;сырный соус;0;348.5;Сливочный сырный соус;Соусы;Сыр, сливки;;0;0
